item_filho	sku	price
Boné Black Friday 2026-Preto-Preto	NRU26BNÉBF-Preto-Preto	69,9900
Boné Black Friday 2026-Preto-Preto	NRU26BNÉBF-Preto-Preto	0,0000
Boné Night 2026-Preto-Preto	NRU26BNÉ-Preto-Preto	79,9900
Boné Night 2026-Preto-Preto	NRU26BNÉ-Preto-Preto	75,0000
Boné Night 2026-Preto-Preto	NRU26BNÉ-Preto-Preto	67,5000
Boné Night-PRETO	NRU26BNÉPSC-PRETO	40,0000
Boné Night-PRETO	NRU26BNÉPSC-PRETO	59,9900
Camiseta Cortesia -BL	NRU26SP1CCORTESIA-BL	0,0000
Camiseta Cortesia -G	NRU26SP1CCORTESIA-G	0,0000
Camiseta Cortesia -GG	NRU26SP1CCORTESIA-GG	0,0000
Camiseta Cortesia -M	NRU26SP1CCORTESIA-M	0,0000
Camiseta Cortesia -P	NRU26SP1CCORTESIA-P	0,0000
Camiseta-BL	NRU26SP1CFINAL-BL	0,0000
Camiseta-G	NRU26SP1CFINAL-G	0,0000
Camiseta-GG	NRU26SP1CFINAL-GG	0,0000
Camiseta-M	NRU26SP1CFINAL-M	0,0000
Camiseta-P	NRU26SP1CFINAL-P	0,0000
Confirmo estar ciente de que a inscrição dá direito apenas ao número de peito (entregue antes) e à medalha de participação (entregue após a prova).	ACEITE-MEIA-INSCRIÇÃO-2025-Sim	0,0000
Distancia - 8Km	NRU26SP1MCP- 8Km	127,9900
Distancia - 8Km	NRU26SP1MPROMO- 8Km	129,9900
Distancia - 8Km	NRU26SP1MCP- 8Km	143,9900
Distancia -12Km	NRU26SP1MPROMO-12Km	129,9900
Distancia -12Km	NRU26SP1MCP-12Km	143,9900
Distancia -12Km	NRU26SP1MCP-12Km	159,9900
Distancia -4Km	NRU26SP1MPROMO-4Km	129,9900
Distancia -4Km	NRU26SP1MCP-4Km	143,9900
Distancia -4Km	NRU26SP1MCP-4Km	159,9900
Distância- 8Km	NRU26SP1MBLACK- 8Km	99,9900
Distância- 8Km	NRU26SP1MBLACK- 8Km	169,9800
Distância- 8Km	NRU26SP1MB- 8Km	169,9800
Distância- 8Km	NRU26SP1MB- 8Km	99,9900
Distância- 8Km	NRU26SP1MB- 8Km	229,9900
Distância- 8Km	NRU26SP1MB- 8Km	119,9900
Distância- 8Km	NRU26SP1MB- 8Km	139,9900
Distância- 8Km	NRU26SP1MB- 8Km	159,9900
Distância- 8Km	NRU26SP1MB- 8Km	179,9900
Distância- 8Km	NRU26SP1MBPSC- 8Km	119,0000
Distância- 8Km	NRU26SP1MBPSC- 8Km	130,0000
Distância- 8Km	NRU26SP1MM- 8Km	84,9900
Distância- 8Km	NRU26SP1MP- 8Km	169,9900
Distância- 8Km	NRU26SP1MB- 8Km	219,9900
Distância- 8Km	NRU26SP1MM- 8Km	94,9900
Distância- 8Km	NRU26SP1MB- 8Km	199,0000
Distância- 8Km	NRU26SP1MB- 8Km	197,9900
Distância- 8Km	NRU26SP1MP- 8Km	189,9900
Distância- 8Km	NRU26SP1MB- 8Km	224,9900
Distância- 8Km	NRU26SP1MB- 8Km	249,9900
Distância- 8Km	NRU26SP1MM- 8Km	109,9900
Distância- 8Km	NRU26SP1MP- 8Km	219,9900
Distância-12Km	NRU26SP1MBLACK-12Km	99,9900
Distância-12Km	NRU26SP1MB-12Km	229,9900
Distância-12Km	NRU26SP1MBLACK-12Km	269,9800
Distância-12Km	NRU26SP1MBLACK-12Km	169,9800
Distância-12Km	NRU26SP1MB-12Km	99,9900
Distância-12Km	NRU26SP1MM-12Km	54,9900
Distância-12Km	NRU26SP1MB-12Km	119,9900
Distância-12Km	NRU26SP1MB-12Km	139,9900
Distância-12Km	NRU26SP1MB-12Km	159,9900
Distância-12Km	NRU26SP1MB-12Km	179,9900
Distância-12Km	NRU26SP1MBPSC-12Km	119,0000
Distância-12Km	NRU26SP1MBPSC-12Km	130,0000
Distância-12Km	NRU26SP1MB-12Km	130,0000
Distância-12Km	NRU26SP1MM-12Km	84,9900
Distância-12Km	NRU26SP1MB-12Km	84,9900
Distância-12Km	NRU26SP1MB-12Km	199,0000
Distância-12Km	NRU26SP1MM-12Km	94,9900
Distância-12Km	NRU26SP1MB-12Km	197,9900
Distância-12Km	NRU26SP1MB-12Km	224,9900
Distância-12Km	NRU26SP1MM-12Km	109,9900
Distância-12Km	NRU26SP1MP-12Km	219,9900
Distância-12Km	NRU26SP1MB-12Km	249,9900
Distância-4Km	NRU26SP1MBLACK-4Km	99,9900
Distância-4Km	NRU26SP1MB-4Km	229,9900
Distância-4Km	NRU26SP1MBLACK-4Km	269,9800
Distância-4Km	NRU26SP1MBLACK-4Km	169,9800
Distância-4Km	NRU26SP1MASS-4Km	169,9800
Distância-4Km	NRU26SP1MB-4Km	169,9800
Distância-4Km	NRU26SP1MB-4Km	99,9900
Distância-4Km	NRU26SP1MB-4Km	119,9900
Distância-4Km	NRU26SP1MP-4Km	109,9900
Distância-4Km	NRU26SP1MB-4Km	139,9900
Distância-4Km	NRU26SP1MB-4Km	159,9900
Distância-4Km	NRU26SP1MB-4Km	179,9900
Distância-4Km	NRU26SP1MBPSC-4Km	119,0000
Distância-4Km	NRU26SP1MBPSC-4Km	130,0000
Distância-4Km	NRU26SP1MM-4Km	84,9900
Distância-4Km	NRU26SP1MP-4Km	169,9900
Distância-4Km	NRU26SP1MM-4Km	94,9900
Distância-4Km	NRU26SP1MB-4Km	199,0000
Distância-4Km	NRU26SP1MB-4Km	197,9900
Distância-4Km	NRU26SP1MP-4Km	189,9900
Distância-4Km	NRU26SP1MB-4Km	249,9900
Distância-4Km	NRU26SP1MM-4Km	109,9900
Distância-4Km	NRU26SP1MB-4Km	224,9900
Distância-4Km	NRU26SP1MP-4Km	219,9900
Jaqueta Night - Black Friday-G	NRU26JQTBF-G	169,9900
Jaqueta Night - Black Friday-G	NRU26JQTBF-G	0,0000
Jaqueta Night - Black Friday-GG	NRU26JQTBF-GG	0,0000
Jaqueta Night - Black Friday-GG	NRU26JQTBF-GG	169,9900
Jaqueta Night - Black Friday-M	NRU26JQTBF-M	169,0000
Jaqueta Night - Black Friday-M	NRU26JQTBF-M	0,0000
Jaqueta Night - Black Friday-M	NRU26JQTBF-M	169,9900
Jaqueta Night - Black Friday-P	NRU26JQTBF-P	169,9900
Jaqueta Night Run-BL	NRU26JQT-BL	189,9900
Jaqueta Night Run-G	NRU26JQT-G	189,9900
Jaqueta Night Run-G	NRU26JQT-G	170,9900
Jaqueta Night Run-GG	NRU26JQT-GG	189,9900
Jaqueta Night Run-GG	NRU26JQT-GG	170,9900
Jaqueta Night Run-M	NRU26JQT-M	189,9900
Jaqueta Night Run-M	NRU26JQT-M	170,9900
Jaqueta Night Run-P	NRU26JQT-P	189,9900
Mochila Night-BRANCO	NRU26MCHL-BRANCO	229,9900
Mochila Night-BRANCO	NRU26MCHL-BRANCO	206,9900
