Data;D-;Meta Dia;Vendas Dia;Ating, Dia (%);Meta Acum,;Vendas Acum.;Ating, Acum, (%);Inscrito dia (Minha planilha);Status;Inscrito acumulado (Minha planilha);Status
26/03/2026;42;56;30;-46%;3.562;3.261;-8%;30;VERDADEIRO;3.323;FALSO
25/03/2026;43;51;51;1%;3.506;3.231;-8%;51;VERDADEIRO;3.293;FALSO
24/03/2026;44;48;27;-43%;3.455;3.180;-8%;27;VERDADEIRO;3.242;FALSO
23/03/2026;45;29;37;26%;3.408;3.153;-8%;37;VERDADEIRO;3.215;FALSO
22/03/2026;46;45;35;-21%;3.378;3.116;-8%;35;VERDADEIRO;3.178;FALSO
21/03/2026;47;32;23;-29%;3.334;3.081;-8%;23;VERDADEIRO;3.143;FALSO
20/03/2026;48;36;35;-1%;3.301;3.058;-7%;35;VERDADEIRO;3.120;FALSO
19/03/2026;49;43;32;-25%;3.266;3.023;-7%;32;VERDADEIRO;3.085;FALSO
18/03/2026;50;45;33;-26%;3.223;2.991;-7%;39;FALSO;3.053;FALSO
17/03/2026;51;41;44;9%;3.179;2.958;-7%;49;FALSO;3.014;FALSO
16/03/2026;52;28;44;56%;3.138;2.914;-7%;48;FALSO;2.965;FALSO
15/03/2026;53;55;65;19%;3.110;2.870;-8%;65;VERDADEIRO;2.917;FALSO
14/03/2026;54;26;33;26%;3.055;2.805;-8%;34;FALSO;2.852;FALSO
13/03/2026;55;15;42;176%;3.029;2.772;-9%;45;FALSO;2.818;FALSO
12/03/2026;56;4;28;583%;3.014;2.730;-9%;31;FALSO;2.773;FALSO
11/03/2026;57;13;26;99%;3.010;2.702;-10%;28;FALSO;2.742;FALSO
10/03/2026;58;17;46;166%;2.997;2.676;-11%;47;FALSO;2.714;FALSO
09/03/2026;59;47;22;-53%;2.979;2.630;-12%;23;FALSO;2.667;FALSO
08/03/2026;60;23;33;42%;2.933;2.608;-11%;33;VERDADEIRO;2.644;FALSO
07/03/2026;61;13;26;97%;2.909;2.575;-12%;26;VERDADEIRO;2.611;FALSO
06/03/2026;62;39;25;-35%;2.896;2.549;-12%;25;VERDADEIRO;2.585;FALSO
05/03/2026;63;13;27;106%;2.858;2.524;-12%;30;FALSO;2.560;FALSO
04/03/2026;64;26;31;17%;2.845;2.497;-12%;31;VERDADEIRO;2.530;FALSO
03/03/2026;65;50;26;-48%;2.818;2.466;-13%;26;VERDADEIRO;2.499;FALSO
02/03/2026;66;42;38;-8%;2.769;2.440;-12%;38;VERDADEIRO;2.473;FALSO
01/03/2026;67;27;55;101%;2.727;2.402;-12%;56;FALSO;2.435;FALSO
28/02/2026;68;15;13;-14%;2.700;2.347;-13%;13;VERDADEIRO;2.379;FALSO
27/02/2026;69;29;24;-18%;2.685;2.334;-13%;24;VERDADEIRO;2.366;FALSO
26/02/2026;70;19;7;-64%;2.655;2.310;-13%;7;VERDADEIRO;2.342;FALSO
25/02/2026;71;10;13;29%;2.636;2.303;-13%;14;FALSO;2.335;FALSO
24/02/2026;72;23;12;-49%;2.626;2.290;-13%;13;FALSO;2.321;FALSO
23/02/2026;73;32;6;-82%;2.603;2.278;-13%;12;FALSO;2.308;FALSO
22/02/2026;74;29;14;-52%;2.570;2.272;-12%;14;VERDADEIRO;2.296;FALSO
21/02/2026;75;24;17;-30%;2.541;2.258;-11%;17;VERDADEIRO;2.282;FALSO
20/02/2026;76;22;15;-33%;2.517;2.241;-11%;15;VERDADEIRO;2.265;FALSO
19/02/2026;77;26;12;-55%;2.494;2.226;-11%;12;VERDADEIRO;2.250;FALSO
18/02/2026;78;21;22;4%;2.468;2.214;-10%;23;FALSO;2.238;FALSO
17/02/2026;79;37;23;-37%;2.447;2.192;-10%;23;VERDADEIRO;2.215;FALSO
16/02/2026;80;36;4;-89%;2.410;2.169;-10%;4;VERDADEIRO;2.192;FALSO
15/02/2026;81;47;13;-72%;2.374;2.165;-9%;13;VERDADEIRO;2.188;FALSO
14/02/2026;82;48;35;-27%;2.327;2.152;-8%;35;VERDADEIRO;2.175;FALSO
13/02/2026;83;75;18;-76%;2.280;2.117;-7%;19;FALSO;2.140;FALSO
12/02/2026;84;51;32;-37%;2.205;2.099;-5%;33;FALSO;2.121;FALSO
11/02/2026;85;58;19;-67%;2.154;2.067;-4%;20;FALSO;2.088;FALSO
10/02/2026;86;54;19;-65%;2.096;2.048;-2%;22;FALSO;2.068;FALSO
09/02/2026;87;56;25;-55%;2.043;2.029;-1%;25;VERDADEIRO;2.046;FALSO
08/02/2026;88;44;38;-13%;1.987;2.004;1%;38;VERDADEIRO;2.021;FALSO
07/02/2026;89;39;26;-33%;1.943;1.966;1%;26;VERDADEIRO;1.983;FALSO
06/02/2026;90;36;11;-70%;1.905;1.940;2%;12;FALSO;1.957;FALSO
05/02/2026;91;46;18;-61%;1.868;1.929;3%;23;FALSO;1.945;FALSO
04/02/2026;92;24;16;-34%;1.823;1.911;5%;17;FALSO;1.922;FALSO
03/02/2026;93;42;35;-16%;1.799;1.895;5%;35;VERDADEIRO;1.905;FALSO
02/02/2026;94;34;18;-46%;1.757;1.860;6%;18;VERDADEIRO;1.870;FALSO
01/02/2026;95;19;41;114%;1.724;1.842;7%;41;VERDADEIRO;1.852;FALSO
31/01/2026;96;34;12;-65%;1.704;1.801;6%;14;FALSO;1.811;FALSO
30/01/2026;97;31;27;-14%;1.670;1.789;7%;28;FALSO;1.797;FALSO
29/01/2026;98;36;12;-66%;1.639;1.762;8%;12;VERDADEIRO;1.769;FALSO
28/01/2026;99;29;18;-39%;1.603;1.750;9%;19;FALSO;1.757;FALSO
