D_Minus;Pct_Acumulado
192;0.0585
191;0.0585
190;0.0585
189;0.0585
188;0.0585
187;0.0585
186;0.0585
185;0.0818
184;0.0818
183;0.0818
182;0.0818
181;0.0818
180;0.0818
179;0.0818
178;0.1052
177;0.1052
176;0.1052
175;0.1052
174;0.1052
173;0.1052
172;0.152
171;0.2338
170;0.2338
169;0.2338
168;0.2338
167;0.2338
166;0.2455
165;0.3273
164;0.4092
163;0.4209
162;0.4209
161;0.4209
160;0.4325
159;1.4262
158;1.9055
157;2.1277
156;2.3498
155;2.5018
154;2.6187
153;2.9343
152;3.133
151;3.4253
150;3.5656
149;4.1618
148;4.3839
147;4.6411
146;4.8398
145;5.0035
144;5.0736
143;5.2139
142;5.2958
141;5.3308
140;5.401
139;5.6582
138;5.8218
137;5.9738
136;6.0556
135;6.1492
134;6.1959
133;6.2895
132;6.3713
131;6.4765
130;6.6051
129;6.6752
128;6.8272
127;6.909
126;7.0143
125;7.1078
124;7.2247
123;7.2948
122;7.365
121;7.4351
120;7.5286
119;7.5754
118;7.6689
117;7.7274
116;7.856
115;7.9495
114;8.0781
113;8.1249
112;8.1833
111;8.347
110;8.4288
109;8.4756
108;8.5925
107;9.4225
106;10.007
105;10.3343
104;10.8838
103;11.2813
102;11.7021
101;12.0762
100;12.2983
99;12.4036
98;12.7893
97;13.0348
96;13.3037
95;13.5025
94;13.5609
93;13.7713
92;13.9116
91;14.3559
90;14.9988
89;15.5132
88;16.7524
87;17.524
86;18.0267
85;18.4124
84;18.693
83;19.2074
82;19.4996
81;19.6867
80;20.1192
79;20.5518
78;20.809
77;21.3701
76;22.0131
75;22.3872
74;22.9834
73;24.5382
72;26.0697
71;27.1218
70;28.2675
69;29.7522
68;31.1316
67;32.4059
66;33.5399
65;34.9544
64;36.1118
63;37.1522
62;38.4615
61;39.5604
60;41.2556
59;42.3895
58;43.3131
57;43.9794
56;44.8796
55;45.9551
54;46.6916
53;47.6385
52;48.2932
51;48.8193
50;49.3804
49;50.3156
48;51.4847
47;52.6771
46;53.4604
45;54.6177
44;55.4594
43;56.4181
42;58.2184
41;60.1239
40;61.4917
39;63.0582
38;64.1805
37;65.7119
36;66.5537
35;68.1786
34;70.1192
33;71.8611
32;73.9303
31;75.4852
30;77.04
29;77.9518
28;79.2612
27;81.1901
26;82.8384
25;84.7323
24;86.0299
23;87.2574
22;88.1576
21;89.8293
20;91.3374
19;92.939
18;94.2717
17;95.4057
16;96.7267
15;97.5099
14;97.7905
13;97.8139
12;97.8256
11;99.5441
10;99.6376
9;99.6727
8;99.7194
7;99.7194
6;99.8246
5;99.9065
4;99.9649
3;99.9883
2;100.0
1;100.0
0;100.0
