D_Minus;Pct_Acumulado;Esperado_de_8700
153;0.0;0.0
152;0.2047;17.8
151;0.5058;44.0
150;0.6504;56.6
149;1.2646;110.0
148;1.4934;129.9
147;1.7584;153.0
146;1.9631;170.8
145;2.1318;185.5
144;2.204;191.7
143;2.3485;204.3
142;2.4329;211.7
141;2.469;214.8
140;2.5413;221.1
139;2.8062;244.1
138;2.9748;258.8
137;3.1314;272.4
136;3.2157;279.8
135;3.3121;288.1
134;3.3602;292.3
133;3.4566;300.7
132;3.5409;308.1
131;3.6493;317.5
130;3.7818;329.0
129;3.854;335.3
128;4.0106;348.9
127;4.0949;356.3
126;4.2033;365.7
125;4.2997;374.1
124;4.4201;384.5
123;4.4924;390.8
122;4.5646;397.1
121;4.6369;403.4
120;4.7332;411.8
119;4.7814;416.0
118;4.8778;424.4
117;4.938;429.6
116;5.0705;441.1
115;5.1668;449.5
114;5.2993;461.0
113;5.3475;465.2
112;5.4077;470.5
111;5.5763;485.1
110;5.6606;492.5
109;5.7088;496.7
108;5.8292;507.1
107;6.6843;581.5
106;7.2865;633.9
105;7.6238;663.3
104;8.1898;712.5
103;8.5993;748.1
102;9.0329;785.9
101;9.4183;819.4
100;9.6471;839.3
99;9.7555;848.7
98;10.153;883.3
97;10.4059;905.3
96;10.6829;929.4
95;10.8876;947.2
94;10.9479;952.5
93;11.1646;971.3
92;11.3092;983.9
91;11.7668;1023.7
90;12.4292;1081.3
89;12.9592;1127.4
88;14.2358;1238.5
87;15.0307;1307.7
86;15.5486;1352.7
85;15.946;1387.3
84;16.2351;1412.5
83;16.765;1458.6
82;17.0661;1484.8
81;17.2588;1501.5
80;17.7044;1540.3
79;18.1501;1579.1
78;18.415;1602.1
77;18.9931;1652.4
76;19.6555;1710.0
75;20.0409;1743.6
74;20.6552;1797.0
73;22.257;1936.4
72;23.8348;2073.6
71;24.9187;2167.9
70;26.099;2270.6
69;27.6286;2403.7
68;29.0497;2527.3
67;30.3625;2641.5
66;31.5308;2743.2
65;32.9881;2870.0
64;34.1804;2973.7
63;35.2523;3067.0
62;36.6012;3184.3
61;37.7333;3282.8
60;39.4797;3434.7
59;40.648;3536.4
58;41.5994;3619.1
57;42.2859;3678.9
56;43.2133;3759.6
55;44.3213;3856.0
54;45.0801;3922.0
53;46.0556;4006.8
52;46.7301;4065.5
51;47.2721;4112.7
50;47.8502;4163.0
49;48.8137;4246.8
48;50.0181;4351.6
47;51.2465;4458.4
46;52.0535;4528.7
45;53.2458;4632.4
44;54.113;4707.8
43;55.1006;4793.7
42;56.9553;4955.1
41;58.9185;5125.9
40;60.3276;5248.5
39;61.9415;5388.9
38;63.0977;5489.5
37;64.6754;5626.8
36;65.5426;5702.2
35;67.2167;5847.9
34;69.2159;6021.8
33;71.0105;6177.9
32;73.1422;6363.4
31;74.7441;6502.7
30;76.3459;6642.1
29;77.2853;6723.8
28;78.6342;6841.2
27;80.6215;7014.1
26;82.3196;7161.8
25;84.2707;7331.6
24;85.6076;7447.9
23;86.8722;7557.9
22;87.7996;7638.6
21;89.5219;7788.4
20;91.0755;7923.6
19;92.7255;8067.1
18;94.0985;8186.6
17;95.2668;8288.2
16;96.6277;8406.6
15;97.4347;8476.8
14;97.7237;8502.0
13;97.7478;8504.1
12;97.7598;8505.1
11;99.5303;8659.1
10;99.6266;8667.5
9;99.6628;8670.7
8;99.7109;8674.9
7;99.7109;8674.9
6;99.8193;8684.3
5;99.9036;8691.6
4;99.9639;8696.9
3;99.988;8699.0
2;100.0;8700.0
1;100.0;8700.0
0;100.0;8700.0
