Data;D_Minus;Vendas_Dia;Vendas_Acumuladas;Pct_Acumulado
2024-09-05;192;5;5;0.06
2024-09-12;185;2;7;0.08
2024-09-19;178;2;9;0.11
2024-09-25;172;4;13;0.15
2024-09-26;171;7;20;0.23
2024-10-01;166;1;21;0.25
2024-10-02;165;7;28;0.33
2024-10-03;164;7;35;0.41
2024-10-04;163;1;36;0.42
2024-10-07;160;1;37;0.43
2024-10-08;159;85;122;1.43
2024-10-09;158;41;163;1.91
2024-10-10;157;19;182;2.13
2024-10-11;156;19;201;2.35
2024-10-12;155;13;214;2.5
2024-10-13;154;10;224;2.62
2024-10-14;153;27;251;2.93
2024-10-15;152;17;268;3.13
2024-10-16;151;25;293;3.43
2024-10-17;150;12;305;3.57
2024-10-18;149;51;356;4.16
2024-10-19;148;19;375;4.38
2024-10-20;147;22;397;4.64
2024-10-21;146;17;414;4.84
2024-10-22;145;14;428;5.0
2024-10-23;144;6;434;5.07
2024-10-24;143;12;446;5.21
2024-10-25;142;7;453;5.3
2024-10-26;141;3;456;5.33
2024-10-27;140;6;462;5.4
2024-10-28;139;22;484;5.66
2024-10-29;138;14;498;5.82
2024-10-30;137;13;511;5.97
2024-10-31;136;7;518;6.06
2024-11-01;135;8;526;6.15
2024-11-02;134;4;530;6.2
2024-11-03;133;8;538;6.29
2024-11-04;132;7;545;6.37
2024-11-05;131;9;554;6.48
2024-11-06;130;11;565;6.61
2024-11-07;129;6;571;6.68
2024-11-08;128;13;584;6.83
2024-11-09;127;7;591;6.91
2024-11-10;126;9;600;7.01
2024-11-11;125;8;608;7.11
2024-11-12;124;10;618;7.22
2024-11-13;123;6;624;7.29
2024-11-14;122;6;630;7.36
2024-11-15;121;6;636;7.44
2024-11-16;120;8;644;7.53
2024-11-17;119;4;648;7.58
2024-11-18;118;8;656;7.67
2024-11-19;117;5;661;7.73
2024-11-20;116;11;672;7.86
2024-11-21;115;8;680;7.95
2024-11-22;114;11;691;8.08
2024-11-23;113;4;695;8.12
2024-11-24;112;5;700;8.18
2024-11-25;111;14;714;8.35
2024-11-26;110;7;721;8.43
2024-11-27;109;4;725;8.48
2024-11-28;108;10;735;8.59
2024-11-29;107;71;806;9.42
2024-11-30;106;50;856;10.01
2024-12-01;105;28;884;10.33
2024-12-02;104;47;931;10.88
2024-12-03;103;34;965;11.28
2024-12-04;102;36;1001;11.7
2024-12-05;101;32;1033;12.08
2024-12-06;100;19;1052;12.3
2024-12-07;99;9;1061;12.4
2024-12-08;98;33;1094;12.79
2024-12-09;97;21;1115;13.03
2024-12-10;96;23;1138;13.3
2024-12-11;95;17;1155;13.5
2024-12-12;94;5;1160;13.56
2024-12-13;93;18;1178;13.77
2024-12-14;92;12;1190;13.91
2024-12-15;91;38;1228;14.36
2024-12-16;90;55;1283;15.0
2024-12-17;89;44;1327;15.51
2024-12-18;88;106;1433;16.75
